Plot_ID,vol_cubft,ba_ac,crd,elev_min_3p2808plus_75FEET,elev_max_3p2808plus_75FEET,elev_ave_3p2808plus_75FEET,elev_stddev_3p2808plus_75FEET,elev_CV_3p2808plus_75FEET,elev_IQ_3p2808plus_75FEET,elev_AAD_3p2808plus_75FEET,elev_P01_3p2808plus_75FEET,elev_P05_3p2808plus_75FEET,elev_P10_3p2808plus_75FEET,elev_P20_3p2808plus_75FEET,elev_P25_3p2808plus_75FEET,elev_P30_3p2808plus_75FEET,elev_P40_3p2808plus_75FEET,elev_P50_3p2808plus_75FEET,elev_P60_3p2808plus_75FEET,elev_P70_3p2808plus_75FEET,elev_P75_3p2808plus_75FEET,elev_P80_3p2808plus_75FEET,elev_P90_3p2808plus_75FEET,elev_P95_3p2808plus_75FEET,elev_P99_3p2808plus_75FEET,First_cover_above6p5616_75FEET,all_cover_above6p5616_75FEET,all_1st_cover_above6p5616_75FEET,First_cover_above_mean_75FEET,all_cover_above_mean_75FEET,all_1st_cover_above_mean_75FEET
101_23,4309.6,218.2669528,44.95271865,3.3,252.35,137.8376,55.8361,0.4051,90.8,46.7752,9.93,46.745,61.81,84.55,93.545,104.69,123.87,137.66,157.02,175.55,184.345,194.63,211.8,219.97,239.435,98.5036,94.6091,162.9929,56.6746,47.4149,81.6865
83_24,4381,87.19795983,26.86285791,3.3,234.02,118.4487,71.8021,0.6062,137.15,63.3001,4.9184,8.802,12.638,23.78,38.4,56.598,121.876,139.5,154.46,170.148,175.55,186.734,202.264,213.63,227.3704,90.6079,88.8889,122.616,59.1472,55.5973,76.6926
83_A09,5647.6,198.362345,39.29373222,3.34,249.75,74.6829,67.5845,0.905,82.43,55.5193,4.5972,10.93,15.13,21.276,25.51,29.54,38.294,45.68,55.146,79.374,107.94,152.11,192.926,219.854,240.8064,99.7819,94,139.0966,29.8442,30.1684,44.6417
43_14,6270.6,183.4698866,54.1895363,3.45,257.47,83.8994,61.684,0.7352,32.21,48.2695,13.7148,24.822,37.94,45,47.65,50.138,54.06,58.4,63.376,71.762,79.86,151.278,197.516,218.976,243.5748,99.5845,93.6556,128.791,22.4761,21.6012,29.705
81_19,6064.8,106.370402,22.63666518,3.5,172.22,134.5489,22.4788,0.1671,22.9075,15.0488,15.7485,105.41,113.03,122.75,125.5025,127.925,132.82,136.83,141.27,145.96,148.41,151.16,156.895,161.85,167.2745,61.6279,53.4021,80.2326,40.9399,29.8452,44.8401
72_02,5255.2,86.91478015,19.45436563,3.29,170.11,112.028,44.8431,0.4003,42.17,33.6057,3.57,5.687,13.121,92.87,100.77,110.55,117.964,127.05,133.242,139.598,142.94,145.868,151.41,155.25,164.443,61.3955,54.1932,78.5083,48.1809,39.6,57.3675
83_09,5049.6,161.753627,27.28193565,3.3,184.07,86.1159,53.2233,0.618,95.1475,47.1253,3.7766,9.6955,15.506,30.864,38.2475,47.186,59.362,87.445,107.316,124.05,133.395,143.392,158.41,167.699,178.2785,94.4762,87.2962,146.1587,51.4286,45.8096,76.6984
82_12,7436.6,188.9602562,46.58672631,3.34,197.75,87.7551,49.2602,0.5613,84.47,43.0839,7.7596,19.028,29.72,39.582,43.97,47.9,60.4,84.69,101.01,117.87,128.44,140.904,159.71,170.276,182.8312,99.6211,92.4194,139.2647,53.2978,44.9618,67.7519
72_22,7447,201.9904482,60.39526644,4.88,181.99,81.5527,45.7752,0.5613,77.4225,40.1886,16.0456,24.292,31.613,40.552,44.965,49.216,56.754,63.59,79.216,113.564,122.3875,128.618,152.162,165.9265,176.8033,100,98.7871,139.1868,37.1833,38.854,54.7437
63_30,6194.4,116.84805,28.88487201,3.3,195.72,84.8,45.7081,0.539,71.36,38.8414,4.5468,10.396,28.452,44.748,46.97,53.406,66.104,79.9,97.36,113.01,118.33,128.386,148.494,163.374,182.9196,89.7727,84.4845,156.3684,49.7396,40.7521,75.4261
63_05,6074.4,112.8979335,24.77460009,3.41,240.02,91.7506,52.0779,0.5676,58.84,39.0418,4.8564,17.289,25.264,45.47,60.3,69.046,78.41,85.41,94.37,105.378,119.14,126.144,172.624,197.743,235.3218,98.1907,95.0871,136.7084,46.5553,41.1665,59.1858
71_14,4853.2,145.1337289,33.98447859,3.74,182.27,95.754,31.5436,0.3294,39.445,24.4728,24.8475,42.6475,51.75,70.37,75.8375,81.69,89.91,96.62,100.9,109.525,115.2825,121.04,140.285,148.2425,167.1585,99.4543,93.1019,148.2721,64.0597,48.2412,76.8279
